Date,Open,High,Low,Close,Adj Close,Volume,company
2023-01-05,373.5,379.399994,373.100006,378.549988,376.347778,769506,Laurus Lab
2023-01-06,378.5,380.899994,371.75,373.850006,371.67514,565954,Laurus Lab
2023-01-09,374.850006,386.0,374.25,379.0,376.795166,2509044,Laurus Lab
2023-01-10,380.899994,382.200012,378.0,378.850006,376.646057,608941,Laurus Lab
2023-01-11,379.0,380.0,365.299988,366.5,364.367889,1710384,Laurus Lab
2023-01-12,368.0,368.0,359.0,360.399994,358.303345,1669410,Laurus Lab
2023-01-13,360.399994,362.25,354.0,357.200012,355.121979,1614466,Laurus Lab
2023-01-16,359.149994,361.0,353.899994,354.549988,352.487396,1342911,Laurus Lab
2023-01-17,355.0,356.100006,349.450012,352.450012,350.399628,920210,Laurus Lab
2023-01-18,352.450012,355.950012,351.649994,354.649994,352.586823,774157,Laurus Lab
2023-01-19,353.850006,355.700012,349.149994,351.649994,349.604248,1011397,Laurus Lab
2023-01-20,352.600006,354.5,346.5,347.100006,345.08075,952034,Laurus Lab
2023-01-23,348.850006,353.450012,346.299988,348.899994,346.87027,702100,Laurus Lab
2023-01-24,348.899994,351.299988,345.100006,346.200012,344.186005,873615,Laurus Lab
2023-01-25,346.0,346.200012,339.399994,342.200012,340.209259,1569346,Laurus Lab
2023-01-27,342.200012,347.649994,337.0,341.850006,339.861298,1075642,Laurus Lab
2023-01-30,342.5,360.0,338.0,341.799988,339.811584,3218852,Laurus Lab
2023-01-31,341.0,341.0,324.049988,330.299988,328.378479,5434023,Laurus Lab
2023-02-01,330.399994,347.799988,329.200012,334.100006,332.156372,2865470,Laurus Lab
2023-02-02,332.5,343.899994,332.5,339.0,337.027863,1114191,Laurus Lab
2023-02-03,340.899994,340.899994,327.549988,331.399994,329.472076,1382874,Laurus Lab
2023-02-06,333.100006,336.200012,328.149994,333.950012,332.007263,1070995,Laurus Lab
2023-02-07,334.0,335.649994,329.100006,330.350006,328.428192,654100,Laurus Lab
2023-02-08,330.649994,340.600006,327.0,338.549988,336.580444,1105621,Laurus Lab
2023-02-09,335.200012,345.850006,335.0,338.350006,336.381683,938425,Laurus Lab
2023-02-10,339.350006,342.899994,333.75,340.049988,338.071777,767256,Laurus Lab
2023-02-13,340.0,341.799988,331.399994,333.350006,331.410736,900333,Laurus Lab
2023-02-14,335.0,335.149994,329.549988,331.0,329.074402,568434,Laurus Lab
2023-02-15,331.0,335.5,328.049988,334.75,332.802582,641628,Laurus Lab
2023-02-16,335.0,338.350006,333.899994,335.399994,333.448822,563021,Laurus Lab
2023-02-17,335.399994,335.399994,325.799988,329.049988,327.135742,777934,Laurus Lab
2023-02-20,329.049988,337.200012,325.149994,331.5,329.571503,1130210,Laurus Lab
2023-02-21,331.299988,332.649994,326.100006,326.850006,324.948578,708327,Laurus Lab
2023-02-22,326.450012,328.950012,317.0,317.399994,315.553528,1221792,Laurus Lab
2023-02-23,318.350006,319.5,313.950012,316.200012,314.360535,1006771,Laurus Lab
2023-02-24,316.049988,320.899994,315.100006,316.899994,315.056427,850232,Laurus Lab
2023-02-27,316.899994,317.200012,309.600006,315.149994,313.31662,1161275,Laurus Lab
2023-02-28,315.149994,318.0,313.0,314.350006,312.521271,796465,Laurus Lab
2023-03-01,314.350006,316.75,313.149994,314.149994,312.322418,546856,Laurus Lab
2023-03-02,314.200012,314.899994,305.899994,306.399994,304.617493,1524562,Laurus Lab
2023-03-03,307.0,314.149994,305.0,311.899994,310.085541,1250129,Laurus Lab
2023-03-06,312.0,322.75,311.399994,321.0,319.132568,1510355,Laurus Lab
2023-03-08,320.5,320.950012,314.350006,316.450012,314.609039,991848,Laurus Lab
2023-03-09,316.450012,321.25,313.0,314.25,312.421875,1532012,Laurus Lab
2023-03-10,314.25,314.25,307.100006,308.799988,307.00354,1403128,Laurus Lab
2023-03-13,308.899994,310.600006,301.799988,304.350006,302.579437,1464443,Laurus Lab
2023-03-14,305.350006,307.75,300.25,305.299988,303.523926,1495689,Laurus Lab
2023-03-15,306.200012,310.75,304.399994,305.450012,303.673065,1233329,Laurus Lab
2023-03-16,305.049988,311.100006,304.0,305.75,303.971313,1212826,Laurus Lab
2023-03-17,307.0,308.950012,301.299988,303.149994,301.386414,1039809,Laurus Lab
2023-03-20,302.0,304.149994,298.5,302.5,300.740234,1170574,Laurus Lab
2023-03-21,299.0,306.5,298.850006,305.350006,303.573639,1082230,Laurus Lab
2023-03-22,306.0,307.299988,303.75,305.200012,303.4245,648526,Laurus Lab
2023-03-23,305.850006,306.899994,302.149994,303.200012,301.436127,734526,Laurus Lab
2023-03-24,303.200012,304.75,298.0,299.350006,297.608551,1094973,Laurus Lab
2023-03-27,299.350006,301.700012,295.0,297.799988,296.067505,1724856,Laurus Lab
2023-03-28,297.799988,298.799988,288.799988,289.75,288.064362,1505740,Laurus Lab
2023-03-29,288.850006,297.899994,286.0,297.049988,295.321899,2051696,Laurus Lab
2023-03-31,297.049988,301.600006,291.0,292.950012,291.245789,3089556,Laurus Lab
